# verdict	class	src	read	command
ADMISSIBLE	tui	agreed	False	/goal All six Denver rooms — Church main + balcony, Vinyl ground/basement/second/rooftop — are composed to the Heist and Studio 60 legibility bar and reviewable in one page. Proven by printing in one turn: pnpm room:bake exit 0 on all six with 58/58 surrounds and 0 unsectioned; pnpm floor-plan:accept green on all eight artifacts; each room's structural command count printed per room and inside the 39-242 band Studio 60 and Heist span; every table carrying the venue's own printed number; and pnpm room:overlay regenerated with a one-line by-eye verdict for each of the six stated in the reply. Constraint: do not add another gate, scorer, certifier, ratchet or viewer — compose the rooms and look at them. Instrumentation is what produced 7% artifact change in three days.
INADMISSIBLE	self-runnable	agreed	True	scripts/postland-verify.sh --run-if-needed && scripts/deploy-release.sh --dry-run
ADMISSIBLE	tui	agreed	False	/goal All six Denver rooms exist as production artifacts in data/ — proven in one turn by printing: pnpm floor-plan:accept over all six plus heist and the-jungle at exit 0; bake-content-bounds --check exit 0 on each; measure-floor-plan-geometry blocks [1][2][3] non-empty with deck fill inside Heist's 39.6-79.6% band; and npx vitest run dimensionsAgree canvas-geometry venue-artifact-name green. Do not seed anything live, do not send email, and do not call a room done without printing its own measure block.
INADMISSIBLE	self-runnable	agreed	False	kitty @ ls | grep -q wt-pool-3 && echo "check the new pane to the right"
ADMISSIBLE	tui	agreed	False	/skill-promote self-explaining-artifact
ADMISSIBLE	decision	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-pool-7 && pnpm tsx scripts/bottle-gen-production.ts --slug=glenlivet-12 --all-refs --runs=2 --prompt="The Glenlivet 12 Year Old Double Oak single malt Scotch whisky bottle"
ADMISSIBLE	decision	agreed	False	aws amplify start-job --app-id djnbdqpvc08g4 --branch-name main --job-type RETRY --job-id 1470 --region us-west-2
ADMISSIBLE	tty	agreed	True	cc-do 03e65f3558cd
INADMISSIBLE	self-runnable	agreed	False	cd /Users/chrisren/Development/claude-infrastructure && git status --short hooks/enforce-email-formatting.py && git diff hooks/enforce-email-formatting.py
ADMISSIBLE	gui	agreed	False	open "x-apple.systempreferences:com.apple.preference.security?Privacy_AllFiles"
ADMISSIBLE	gui	agreed	False	open "x-apple.systempreferences:com.apple.preferences.softwareupdate"
INADMISSIBLE	permission-gated	adjudicated	True	! aws dynamodb create-table --table-name reso-web-vitals --attribute-definitions AttributeName=day,AttributeType=S AttributeName=id,AttributeType=S --key-schema AttributeName=day,KeyType=HASH AttributeName=id,KeyType=RANGE --billing-mode PAY_PER_REQUEST --region us-west-2
ADMISSIBLE	tui	agreed	False	/compact-memory
INADMISSIBLE	self-runnable	agreed	True	bash /Users/chrisren/.claude/bin/cc-do --list
ADMISSIBLE	gui	agreed	False	open "https://www.google.com/travel/search?q=hotels%20Santa%20Ana%20CA&ts=CAESCgoCCAMKAggDEAA&checkin=2026-08-29&checkout=2026-08-30"
ADMISSIBLE	tty	agreed	True	~/Development/agent-secrets/bin/agent-secrets setup
ADMISSIBLE	gui	agreed	False	open https://www.amazon.com/dp/B0F8NYK28W
ADMISSIBLE	gui	agreed	False	open -a "Google Chrome" --args --incognito https://key.reso.gl/floor-plan
INADMISSIBLE	permission-gated	agreed	True	launchctl setenv CC_REAPER_GARBAGE 0
INADMISSIBLE	self-runnable	agreed	True	cc-backlog unblock 32d4d093f78a
INADMISSIBLE	self-runnable	agreed	True	cc-backlog list --blocked | head -20
ADMISSIBLE	decision	agreed	True	pnpm tsx --env-file=.env.local scripts/setup/prune-orphan-section-configs.ts --tenant=key --tenant=harbourtwo --tenant=time --tenant=gm --tenant=envy --execute
ADMISSIBLE	decision	agreed	True	cd /Users/chrisren/Development/sevenrooms-bridge && node scripts/clear-dryrun-markers.mjs --fire && node scripts/backfill-upcoming.mjs --fire --limit 1
INADMISSIBLE	self-runnable	single	True	cc-decide action ab82a67e2c37 --evidence "settings-json: register across the config dirs with the count assertion"
UNKNOWN	unreadable	agreed	False	bash /tmp/claude-next-commands-converge.sh
INADMISSIBLE	self-runnable	adjudicated	True	CC_FIRE_CAPACITY_GATE=off bash /Users/chrisren/Development/claude-infrastructure/scripts/handoff-fire.sh --prompt-file <your-brief> --worktree <branch>
INADMISSIBLE	self-runnable	adjudicated	True	git -C /Users/chrisren/Development/claude-infrastructure stash push -m "identical to trunk; unblocks deploy-live" -- hooks/enforce-email-formatting.py && bash /Users/chrisren/Development/claude-infrastructure/scripts/deploy-live.sh
UNKNOWN	unreadable	agreed	False	CONFIRM=1 bash /tmp/claude-next-converge.sh
INADMISSIBLE	self-runnable	adjudicated	True	pnpm tsx scripts/seed-floor-plan-from-json.ts --subdomain studio60 --create="Studio 60 — Main Floor"
INADMISSIBLE	self-runnable	agreed	False	git show 1fe7a1bc4
ADMISSIBLE	login	agreed	False	open https://serpapi.com/users/sign_up
ADMISSIBLE	decision	agreed	True	bash ~/.claude/autonomy/staged/dispatcher-venue-apply.sh both
INADMISSIBLE	readable	agreed	False	cursor /Users/chrisren/Development/personal/montway-fcba-letter-2026-08-26.md
ADMISSIBLE	decision	agreed	True	git -C ~/Development/claude-infrastructure reset --keep origin/main && bash ~/Development/claude-infrastructure/scripts/deploy-live.sh
INADMISSIBLE	self-runnable	agreed	False	it2 session focus -s 616
ADMISSIBLE	sudo	agreed	True	sudo networksetup -ordernetworkservices "Wi-Fi" "iPhone USB 8"
INADMISSIBLE	self-runnable	agreed	False	git show 6b90326
ADMISSIBLE	tui	agreed	False	/goal Every non-operator item on the device-enrollment build is closed — proven by this session running and printing (a) cc-custody list with no open row for wt-pool-4, and (b) cc-backlog list --open --project reso-management-app showing db0ae0e93984 absent; and if the operator reports T1 as local-Face-ID-only, the SEPARATE QR-first entry point must be implemented, gate-green and landed before this clears. Do not run /deploy, do not add preferredAuthenticatorType:remoteDevice to the default Add-a-device path, and do not block on the T3/T4 iPhone measurements.
INADMISSIBLE	self-runnable	agreed	True	cc-decide list --open
ADMISSIBLE	sudo	agreed	True	sudo killall fseventsd
INADMISSIBLE	self-runnable	agreed	True	cc-decide list --open --class C
ADMISSIBLE	decision	agreed	True	bash ~/Development/claude-infrastructure/migrations/0016-w3-hook-registration.sh && bash ~/Development/claude-infrastructure/migrations/0017-filechanged-cwdchanged-registration.sh
ADMISSIBLE	login	adjudicated	True	bash /tmp/sevenrooms-session-relogin.sh
ADMISSIBLE	sudo	adjudicated	True	bash /tmp/wifi-step1-mac.sh
ADMISSIBLE	decision	agreed	True	cp /Users/chrisren/Development/claude-infrastructure/launchd/staged/com.claude.cc-gc.plist ~/Library/LaunchAgents/ && launchctl bootstrap gui/$(id -u) ~/Library/LaunchAgents/com.claude.cc-gc.plist
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/.worktrees/rmgate-widen && bash scripts/ship-land.sh
ADMISSIBLE	tty	agreed	True	bash ~/.claude/autonomy/approval-queue-drain.sh
INADMISSIBLE	self-runnable	agreed	True	git -C /Users/chrisren/Development/claude-infrastructure reset --keep origin/main
ADMISSIBLE	sudo	agreed	False	sudo pmset -a disablesleep 1
ADMISSIBLE	sudo	agreed	True	bash /tmp/tether-service-order-fix.sh
ADMISSIBLE	gui	agreed	False	open "https://outlook.live.com/mail/0/drafts"
ADMISSIBLE	tty	agreed	True	bash /Users/chrisren/Development/agent-secrets/scripts/release.sh v0.1.2
ADMISSIBLE	decision	agreed	False	kill 64687 66217; sleep 3; osascript -e 'tell application id "com.googlecode.iterm2" to quit'
ADMISSIBLE	sudo	agreed	True	bash /tmp/fsev-remediation.sh
ADMISSIBLE	decision	agreed	False	bash /tmp/denver-deploy-dallas.sh
ADMISSIBLE	decision	agreed	True	bash /Users/chrisren/Development/claude-infrastructure/scripts/deploy-live.sh --force
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-7d0c581fe2fb && SHIP_LAND_GATE_ROUNDS=0 LAND_LOCK_WAIT=2400 bash scripts/ship-land.sh
ADMISSIBLE	decision	agreed	True	bash /Users/chrisren/Development/wt-ptuf2/migrations/0021-cwdchanged-slot-replace.sh
ADMISSIBLE	decision	agreed	True	./infrastructure/reso-deploy/scripts/deploy-runner.sh
ADMISSIBLE	tty	agreed	True	cc-do e87ca2e6bd2f
INADMISSIBLE	self-runnable	agreed	True	kitten @ send-text --match id:616 1
ADMISSIBLE	decision	adjudicated	True	cd ~/Development/reso-landing-app && git reset --hard bfa8c8ab
INADMISSIBLE	self-runnable	agreed	False	git -C /Users/chrisren/Development/reso-web-app merge --ff-only w4-chakra-v3
INADMISSIBLE	self-runnable	agreed	True	it2 session focus -s 722
INADMISSIBLE	self-runnable	agreed	False	cc-mission list
ADMISSIBLE	tui	agreed	False	/mcp
ADMISSIBLE	sudo	agreed	False	/bin/bash -c "$(curl -fsSL https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh)" && brew install --cask iterm2
INADMISSIBLE	self-runnable	adjudicated	True	gh repo view renchris/sevenrooms-bridge --web
INADMISSIBLE	self-runnable	adjudicated	True	cd ~/Development/.worktrees/wave-w4-stranded && CC_ACCOUNT_PINNED=1 CLAUDE_ISOLATION_SKIP=1 claude --strict-mcp-config --mcp-config=/var/folders/0s/t55zvgts2qqb78fbqgn8ldy40000gn/T//cc-mcp-userscope-.claude-next.json "$(cat ~/.claude/w4-successor-brief.md)"
INADMISSIBLE	self-runnable	agreed	False	tmux send-keys -t lr-resume-52e35019 -X cancel
ADMISSIBLE	decision	agreed	True	cd ~/Development/sevenrooms-bridge && node scripts/guestlist-delete.mjs --venue twelvewest --date 2026-08-28 --id "ahNzfnNldmVucm9vbXMtc2VjdXJlcigLEhtuaWdodGxvb3BfUmVzZXJ2YXRpb25BY3R1YWwYgICHoenZjgkM" --expect-name "Ada Lovelace" --expect-email "local-verify@example.com" --fire --yes
INADMISSIBLE	self-runnable	agreed	True	cc-decide show 0ee52d13a058
ADMISSIBLE	decision	agreed	True	bash /Users/chrisren/Development/reso-management-app/scripts/deploy-release.sh
ADMISSIBLE	decision	agreed	False	osascript -e 'tell application "Finder" to empty trash'
ADMISSIBLE	decision	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-pool-5 && DEPLOY_CONFIRMED_DROP="0088_peaceful_deadpool.sql" bash scripts/deploy-release.sh
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/reso-web-app && git push origin main
ADMISSIBLE	login	agreed	False	gh auth refresh -s user
ADMISSIBLE	login	agreed	False	MS365_MCP_TENANT_ID=consumers npx -y @softeria/ms-365-mcp-server@latest --login
ADMISSIBLE	decision	agreed	True	bash /Users/chrisren/.claude/autonomy/pending-activation/22-nightly-regression-activate.sh
ADMISSIBLE	tty	agreed	True	cc-do 57b3a6c931bc
ADMISSIBLE	decision	agreed	True	bash /Users/chrisren/Development/wt-ptuf2/migrations/0020-hook-surface-registration-w3d.sh
ADMISSIBLE	decision	agreed	False	bash /tmp/sr-recover-weekend.sh --fire
INADMISSIBLE	self-runnable	adjudicated	True	claude3 "Read ~/.claude/autonomy/fire-drain-recycle218.txt in full, then follow it as your complete brief. You are recycle #218 of the 24/7 backlog drain chain."
INADMISSIBLE	readable	agreed	False	cursor /Users/chrisren/Development/reso-web-app/docs/research/ssr-credentials-broken-2026-08-27.md
ADMISSIBLE	decision	agreed	True	CONFIRM=1 bash docs/activation/pending-activation/35-auth-timeseries-activate.sh
INADMISSIBLE	self-runnable	agreed	False	jq -r --arg v red 'select(.verdict==$v).failing[]?' ~/.claude/autonomy/postland/stamps/*.json | sort | uniq -c | sort -rn | head
ADMISSIBLE	decision	agreed	False	bash /tmp/reso-destroy-retired-tenants-v2.sh
ADMISSIBLE	decision	agreed	True	node /Users/chrisren/Development/sevenrooms-bridge/scripts/backfill-upcoming.mjs --fire
ADMISSIBLE	tty	agreed	True	cc-do a954a12baf25
INADMISSIBLE	self-runnable	agreed	True	bash ~/Development/claude-infrastructure/scripts/ship-land.sh
ADMISSIBLE	tty	agreed	True	cc-do 75d6718b3df3
ADMISSIBLE	login	agreed	True	~/Development/personal/bin/tg auth
INADMISSIBLE	permission-gated	adjudicated	True	launchctl kickstart -k gui/$(id -u)/com.claude.compressor-sentinel
ADMISSIBLE	decision	agreed	True	cd ~/Development/sevenrooms-bridge && bash scripts/deploy.sh
ADMISSIBLE	login	agreed	True	export DISCORD_TOKEN='paste-token-here' && python3 /tmp/discord-read-history.py list
INADMISSIBLE	self-runnable	agreed	False	git show 1ecbb2e65 dd53b1282
ADMISSIBLE	tty	agreed	True	cc-do 22-nightly-regression-activate
ADMISSIBLE	decision	agreed	True	cd /Users/chrisren/Development/sevenrooms-bridge && node scripts/backfill-upcoming.mjs --fire --limit 1
INADMISSIBLE	self-runnable	agreed	False	git commit -m "docs(exhaustive-drive): W2-B5 — the Bash-write extraction's coverage and its false convictions live in the same idiom" -- docs/research/exhaustive-drive-2026-09-08/W2-B5-write-attribution-census.md
ADMISSIBLE	decision	agreed	True	CONFIRM=1 bash ~/.claude/autonomy/pending-activation/39-smart-allowlist-activate.sh
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/wt-ptuf2 && bash scripts/ship-land.sh
ADMISSIBLE	tui	agreed	False	/goal Multi-device passkey enrollment is COMPLETE AND LIVE — proven by this session printing (a) cc-backlog list --open --project reso-management-app with f13e68697bbd absent, (b) a full pnpm design:gate at 155 passed / 0 failed, and (c) a PRAGMA table_info(credential) against a production tenant showing credential_device_type present, which is the only proof the deploy actually reached the enforcing store. If the operator reports that the macOS sheet offers no nearby-phone path even under Other Options, the separate QR-first entry point must be implemented, gate-green and landed before this clears. Do not run /deploy — it is the operator's alone, so when everything else is done, say so and stop. Do not add preferredAuthenticatorType:remoteDevice to the default Add-a-device path. Do not override the fire capacity gate.
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-region-foldin && bash scripts/ship-land.sh
ADMISSIBLE	gui	agreed	False	open "https://www.google.com/travel/flights?q=flights%20from%20SNA%20to%20AUS%20on%202026-08-30%20one%20way"
ADMISSIBLE	decision	agreed	False	/Users/chrisren/.claude-220/node_modules/.bin/claude mcp add --transport stdio --scope user mac-messages -- uvx mac-messages-mcp
INADMISSIBLE	readable	agreed	False	cursor ~/Development/personal/roommate-settlement/STATEMENTS.md
ADMISSIBLE	gui	agreed	False	open 'https://www.beeper.com/download'
INADMISSIBLE	self-runnable	adjudicated	True	python3 ~/Development/claude-infrastructure/scripts/cloud-answer.py --dry-run
ADMISSIBLE	gui	agreed	False	open "https://claude.ai/code/artifact/2fee5230-a940-4907-9325-85c5b0bdf18c"
INADMISSIBLE	self-runnable	agreed	True	bash ~/Development/claude-infrastructure/bin/cc-backlog done f4184622d743 --evidence "Operator ruling 2026-08-25: staying on Sequoia 15.7.9. Residual (2) is already satisfied — AutomaticallyInstallMacOSUpdates=0, AutomaticDownload=0, /Library/Updates holds no payload, so nothing can stage or ride a restart. Residual (1) Tahoe declined: no executable path in scripts/bin/hooks branches on the OS version, so it buys no capability, while the 30-pane terminal/Metal/Rosetta posture is measured on Darwin 24 and a major jump invalidates that evidence base."
INADMISSIBLE	scheduler-owned	agreed	True	git -C /Users/chrisren/Development/claude-infrastructure config --unset core.bare && bash /Users/chrisren/Development/claude-infrastructure/scripts/deploy-live.sh --auto
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-pool-3 && COND="$(cat docs/plans/goals/w1.goal)" && ~/.claude/scripts/handoff-fire.sh --prompt-file .claude/team-briefs/docs-consolidation/w1.md --worktree docs-w1-fixtures --notify-back "${ITERM_SESSION_ID##*:}" --account auto --split-right --goal "$COND"
INADMISSIBLE	readable	agreed	False	cursor /Users/chrisren/Development/reso-web-app/docs/plans/OXLINT_MIGRATION.md
INADMISSIBLE	self-runnable	adjudicated	True	cc-do deploy-live
ADMISSIBLE	decision	agreed	True	cc-decide veto 640ad6a1a19a --by operator
INADMISSIBLE	self-runnable	agreed	True	bash /Users/chrisren/Development/reso-web-app/scripts/verify-agent-readiness.sh https://www.reso.gl
INADMISSIBLE	self-runnable	agreed	False	git show d29d4c0f4
ADMISSIBLE	tui	agreed	False	pnpm exec bash -c '/deploy'
ADMISSIBLE	login	agreed	False	pbcopy < ~/.config/secrets/age.key
INADMISSIBLE	self-runnable	agreed	False	for p in / /twelve-west /mansion; do echo -n "$p "; curl -s "https://www.reso.gl$p?cb=$RANDOM" | grep -c '@layer recipes{\.css-'; done
ADMISSIBLE	gui	agreed	False	open "http://gn.localhost:3001/login"
ADMISSIBLE	login	agreed	True	bash scripts/setup/lead-alert-phase0.sh
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-40ea16f5821b && bash scripts/ship-land.sh
ADMISSIBLE	tui	agreed	False	/goal clear
INADMISSIBLE	scheduler-owned	agreed	True	bash /Users/chrisren/Development/claude-infrastructure/scripts/deploy-live.sh
ADMISSIBLE	tty	agreed	True	cc-do
ADMISSIBLE	gui	agreed	False	open http://key.localhost:3000/floor-plan
ADMISSIBLE	sudo	agreed	True	open -a Terminal /tmp/fsev-remediation.sh
INADMISSIBLE	self-runnable	agreed	True	git -C /Users/chrisren/Development/claude-infrastructure config --unset core.bare && /Users/chrisren/Development/claude-infrastructure/scripts/deploy-live.sh --auto
ADMISSIBLE	login	adjudicated	True	/opt/homebrew/bin/python3 /tmp/discord-read-history.py
INADMISSIBLE	self-runnable	agreed	False	cd /Users/chrisren/Development/.worktrees/wt-docs-w4-cull && GIT_EDITOR=true git rebase --continue
ADMISSIBLE	gui	agreed	False	open "http://gn.localhost:3864/api/dev-login?next=/"
INADMISSIBLE	readable	agreed	False	cursor /tmp/wifi-cutover-runbook.sh
INADMISSIBLE	self-runnable	agreed	True	it2 session focus 427
INADMISSIBLE	permission-gated	adjudicated	True	bash /tmp/lakehouse-nojekyll-push.sh
ADMISSIBLE	decision	agreed	True	scripts/deploy-release.sh
INADMISSIBLE	self-runnable	agreed	False	cd ~/Development/reso-landing-app && git push origin main
ADMISSIBLE	decision	adjudicated	True	launchctl bootout gui/$(id -u)/com.claude.accounts-keepwarm; cp ~/Development/claude-infrastructure/launchd/staged/com.claude.accounts-keepwarm.plist ~/Library/LaunchAgents/ && launchctl bootstrap gui/$(id -u) ~/Library/LaunchAgents/com.claude.accounts-keepwarm.plist
ADMISSIBLE	decision	agreed	True	bash ~/.claude/DEPLOY-NOW.sh --force
ADMISSIBLE	tty	agreed	True	cc-do 40-cc-gc-activate
INADMISSIBLE	self-runnable	adjudicated	True	CONFIRM=1 bash /tmp/claude-next-commands-converge.sh
ADMISSIBLE	gui	adjudicated	True	open 'https://outlook.live.com/owa/?ItemID=AQMkADAwATY0MDABLTlmNTUALWE3ZGUtMDACLTAwCgBGAAADfHgLJFooeEuAVU9Tl7xLTgcA5ymqAQJ7ikGyvEdSeRTnggAAAgEPAAAA5ymqAQJ7ikGyvEdSeRTnggAJrBWNcQAAAA%3D%3D&exvsurl=1&viewmodel=ReadMessageItem'
ADMISSIBLE	decision	adjudicated	True	bash /tmp/hooks-wire-posttooluse-failure.sh
ADMISSIBLE	gui	agreed	False	open 'https://accountscenter.facebook.com/info_and_permissions'
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-pool-5 && DEPLOY_CONFIRMED_DROP="0088_peaceful_deadpool.sql" bash scripts/deploy-release.sh --dry-run
ADMISSIBLE	tty	agreed	True	bash /tmp/mac-bootstrap-publish.sh
INADMISSIBLE	self-runnable	agreed	True	git -C /Users/chrisren/Development/claude-infrastructure config core.bare false && bash /Users/chrisren/Development/claude-infrastructure/scripts/deploy-live.sh
ADMISSIBLE	decision	agreed	False	echo 'export OPENAI_API_KEY="sk-your-key-here"' >> ~/.zshrc && source ~/.zshrc
ADMISSIBLE	tty	agreed	False	exec zsh -l
ADMISSIBLE	login	agreed	False	open -na "Google Chrome" --args --user-data-dir="$HOME/.sevenrooms-automation-profile" https://www.sevenrooms.com/login
INADMISSIBLE	readable	agreed	False	cursor /tmp/sevenrooms-close-the-loop.sh
ADMISSIBLE	tty	agreed	True	cc-do 336fc0eeb874
ADMISSIBLE	gui	agreed	False	open -a Messages
ADMISSIBLE	gui	agreed	False	open "http://studio60.localhost:3000/api/dev-login?next=/floor-plan"
INADMISSIBLE	self-runnable	agreed	True	cc-custody list --open --cwd "$PWD" --json
UNKNOWN	unreadable	agreed	False	bash /tmp/lr-resume-2de07510.sh
ADMISSIBLE	decision	agreed	True	bash /Users/chrisren/Development/wt-ptuf2/migrations/0019-hook-surface-registration.sh
INADMISSIBLE	readable	agreed	False	cursor ~/.claude/model-config.yaml
ADMISSIBLE	decision	agreed	True	bash ~/.claude/scripts/automode-restore-defaults.sh
UNKNOWN	unreadable	agreed	False	bash /tmp/sevenrooms-items-3-6-land.sh
ADMISSIBLE	login	agreed	True	bash ~/mint-denver-admin.sh --write
ADMISSIBLE	decision	agreed	True	pnpm release:fly -- --dfw
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/.worktrees/lead-ceiling && bash scripts/ship-land.sh
ADMISSIBLE	decision	adjudicated	True	bash /tmp/dispatcher-unpark-local.sh --yes
ADMISSIBLE	login	agreed	False	MS365_MCP_TENANT_ID=consumers npx @softeria/ms-365-mcp-server --login
ADMISSIBLE	gui	agreed	False	open ~/Screenshots/Screen*2026-08-15*.mov
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-pool-2 && bash scripts/setup/local-tenants.sh --serve
ADMISSIBLE	decision	agreed	True	cc-decide answer 32d4d093f78a --what "disarm: POSTLAND_AUTOREVERT=off"
INADMISSIBLE	self-runnable	agreed	False	for w in 615 618; do kitten @ close-window --match id:$w; done
INADMISSIBLE	self-runnable	agreed	True	bash scripts/land-status.sh && bash scripts/ship-land.sh
INADMISSIBLE	self-runnable	agreed	True	./tools/verify-pages.sh
INADMISSIBLE	self-runnable	agreed	False	cd ~/Development/reso-management-app && claude "Decision 517e175ffe3b says the guestlist confirmation email has been ~99.5% failing for months. Find the sending path and the queue, verify whether it is still failing today, and report what is actually stuck, why, and how many queued items are stale."
ADMISSIBLE	tty	agreed	True	~/.claude/bin/cc-do 22-nightly-regression-activate
ADMISSIBLE	sudo	agreed	False	sudo pmset -a powermode 1
ADMISSIBLE	tty	agreed	False	kitty @ get-text --match id:1 >/dev/null; echo "now try shift+drag in pane 1 (the plain zsh pane in your own window — no Claude running)"
ADMISSIBLE	physical	agreed	True	msg send "+13057668171" "Is your buddy Lucas Gilschenk the ops director? Need his email — the invite link only works for the exact address it's issued to."
ADMISSIBLE	decision	agreed	False	aws dynamodb create-table --table-name reso-web-vitals --attribute-definitions AttributeName=day,AttributeType=S AttributeName=id,AttributeType=S --key-schema AttributeName=day,KeyType=HASH AttributeName=id,KeyType=RANGE --billing-mode PAY_PER_REQUEST --region us-west-2
INADMISSIBLE	self-runnable	agreed	False	cd ~/Development/reso-landing-app && git checkout landing-overview-wip && pnpm dev
INADMISSIBLE	self-runnable	agreed	True	CC_FIRE_CAPACITY_GATE=off bash /Users/chrisren/Development/claude-infrastructure/scripts/handoff-fire.sh --prompt-file /tmp/fire-drain-recycle58.txt --cwd /Users/chrisren/Development/.worktrees/drain/recycle-11 --notify-back 102 --account auto --split-right
INADMISSIBLE	self-runnable	agreed	True	bash /Users/chrisren/Development/.worktrees/backlog-telemetry/scripts/backlog-telemetry.sh
UNKNOWN	unreadable	agreed	False	bash /tmp/studio60-rollback-floorplan-to-deployed.sh
INADMISSIBLE	self-runnable	agreed	True	./scripts/deploy-status.sh
INADMISSIBLE	self-runnable	agreed	True	npx tsx --env-file=.env.local scripts/enable-discoverable-passkeys.ts
ADMISSIBLE	gui	agreed	False	open .floorplan-iterations/layers/the-church-nightclub-main-floor.html
INADMISSIBLE	self-runnable	agreed	True	bash ~/.claude/scripts/handoff-fire.sh --recycle --prompt-file /tmp/recycle-denver-step13.txt
ADMISSIBLE	gui	adjudicated	True	open 'https://outlook.live.com/owa/?ItemID=AQMkADAwATY0MDABLTlmNTUALWE3ZGUtMDACLTAwCgBGAAADfHgLJFooeEuAVU9Tl7xLTgcA5ymqAQJ7ikGyvEdSeRTnggAAAgEPAAAA5ymqAQJ7ikGyvEdSeRTnggAJrBWNbwAAAA%3D%3D&exvsurl=1&viewmodel=ReadMessageItem'
INADMISSIBLE	permission-gated	adjudicated	True	bash /tmp/refire-drain-218.sh
INADMISSIBLE	self-runnable	agreed	True	~/.claude/bin/cc-await-ping "${ITERM_SESSION_ID##*:}" --timeout 14400 --interval 15
ADMISSIBLE	decision	agreed	False	aws iam create-role --role-name reso-amplify-ssr-compute --assume-role-policy-document '{"Version":"2012-10-17","Statement":[{"Effect":"Allow","Principal":{"Service":"amplify.amazonaws.com"},"Action":"sts:AssumeRole"}]}'
ADMISSIBLE	decision	agreed	True	bash ~/Development/claude-infrastructure/migrations/0016-w3-hook-registration.sh
ADMISSIBLE	decision	agreed	True	cc-escalations ack --all
INADMISSIBLE	self-runnable	agreed	False	bash /tmp/converge-live-layer.sh
INADMISSIBLE	self-runnable	agreed	False	kitty @ focus-window --match id:126
INADMISSIBLE	permission-gated	adjudicated	True	bash /tmp/live-layer-repair.sh --yes
UNKNOWN	unreadable	agreed	False	bash /tmp/unblock-headless-fires.sh
INADMISSIBLE	self-runnable	adjudicated	True	/harvest-skill
ADMISSIBLE	decision	agreed	False	aws amplify update-branch --app-id d2wzxfgylxxfth --branch-name main --no-enable-auto-build
INADMISSIBLE	permission-gated	adjudicated	True	bash scripts/prove-relogin.sh
ADMISSIBLE	tty	agreed	True	~/Development/personal/bin/extract-16e
UNKNOWN	unreadable	agreed	False	bash /tmp/austin-tuesday-night.sh
ADMISSIBLE	decision	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-pool-7 && pnpm tsx scripts/bottle-gen-production.ts --slug=glenlivet-12 --all-refs --runs=3 --prompt="The Glenlivet 12 Year Old Double Oak single malt Scotch whisky bottle"
INADMISSIBLE	self-runnable	agreed	False	git -C /Users/chrisren/Development/sevenrooms-bridge merge --ff-only sr-zerohuman
ADMISSIBLE	decision	adjudicated	True	bash /tmp/mac-bootstrap.sh --uninstall --only m3_hooks
ADMISSIBLE	tty	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-cc-015041-28169 && bash scripts/setup/lead-alert-phase0.sh
ADMISSIBLE	gui	agreed	False	open "https://www.hellolanding.com/homes/apartment-in-austin-tx-pearl-springdale-254"
INADMISSIBLE	self-runnable	agreed	True	handoff-fire.sh --recycle
ADMISSIBLE	tty	agreed	True	cc-do 8c7ebcb056b0
INADMISSIBLE	self-runnable	agreed	True	cc-notify --receipt 144 2
